labeling_budget,precision,recall,fscore,f_score_std,ed_tpfp,ed_tpfn,tp
66,0.6086684576807138,0.39507983056370155,0.4717584875365135,0.072460421510849,11963.5,18414.0,7275.0
132,0.7518576584656735,0.6079178885630497,0.6604411365050182,0.043821579295940716,15399.8,18414.0,11194.2
198,0.7913076487070689,0.6829368958401216,0.7245430337700004,0.044869810429143515,16419.8,18414.0,12575.6
330,0.7768062104085283,0.7872814163136743,0.7807744083728363,0.013349328088831549,18712.0,18414.0,14497.0
660,0.81944781234422,0.8348539154990767,0.8256555570534714,0.03267687488048848,18879.0,18414.0,15373.0
990,0.869744847127137,0.8750081459758879,0.8722121698791714,0.03210897830590031,18526.0,18414.0,16112.4
1320,0.8617157947798401,0.8621266427718041,0.8597884115914411,0.027391972830221715,18562.8,18414.0,15875.2
